,physics.atm-clus,math.SG,math.GR,math.GM,physics.atom-ph,math.MG,q-fin.PR,cs.IT,physics.soc-ph,astro-ph.HE,cs.GL,physics.hist-ph,cond-mat.supr-con,eess.AS,physics.bio-ph,astro-ph.EP,math.RT,eess.SP,cs.HC,q-bio.TO,math.DS,stat.ML,cs.MM,math.ST,math.NT,cs.DB,math.PR,stat.ME,physics.chem-ph,cond-mat.soft,cond-mat.mtrl-sci,cs.CY,cond-mat.other,q-bio.SC,math.FA,cs.GT,math.GN,cs.DL,cs.PL,cond-mat.str-el,physics.plasm-ph,math.HO,cs.PF,physics.geo-ph,cs.SC,cs.OS,physics.data-an,eess.SY,cs.MS,math.AT,math.GT,math.AP,math.LO,stat.AP,cond-mat.quant-gas,astro-ph.SR,math.QA,math.OC,q-fin.MF,q-fin.EC,q-bio.MN,math.CV,cond-mat.mes-hall,econ.TH,math.NA,physics.gen-ph,physics.space-ph,hep-th,physics.class-ph,cond-mat.dis-nn,cs.ET,physics.ao-ph,cs.FL,q-bio.NC,cs.CG,cs.RO,q-bio.GN,q-fin.CP,cs.AI,physics.flu-dyn,physics.med-ph,cs.MA,nlin.PS,cond-mat.stat-mech,q-fin.GN,q-bio.PE,cs.OH,cs.CV,nlin.CG,cs.IR,hep-ph,astro-ph.GA,cs.SD,eess.IV,nlin.CD,nucl-th,cs.CE,physics.comp-ph,q-fin.PM,math.CT,cs.AR,hep-lat,math.DG,physics.pop-ph,math.SP,math.IT,cs.CC,astro-ph,cs.NA,q-bio.OT,nlin.SI,cs.NI,cs.NE,math.CA,astro-ph.CO,math.KT,q-fin.TR,cs.LO,physics.acc-ph,math.AC,econ.EM,q-bio.CB,math.CO,cs.SI,cs.SE,physics.ed-ph,q-fin.RM,stat.TH,stat.OT,cs.GR,physics.app-ph,q-bio.BM,cs.DS,econ.GN,nucl-ex,nlin.AO,math.OA,stat.CO,cs.LG,cs.DC,math-ph,math.MP,gr-qc,q-bio.QM,quant-ph,cs.CL,hep-ex,physics.ins-det,physics.optics,math.AG,cs.SY,astro-ph.IM,cs.CR,cs.DM,math.RA,q-fin.ST
11Y55,0,0,1,0,0,0,4,1,0,1,5,59,0,0,2,0,0,6,1,0,2,2,0,4,3,5,6,9,1,2,0,2,2,72,3,0,0,1,3,1,1,0,16,407,4,0,7,1,9,0,3,1,4,19,6,3,0,6,2,9,3,3,0,1,0,7,3,10,0,1,59,2,0,1,4,160,1,3,3,0,0,0,0,1,2,2,1,3,6,20,0,7,0,0,4,57,1,1,0,1,0,0,0,1,0,0,0,0,0,0,9,1,0,0,1,10,2,0,3,0,13,0,1,4,3,1,0,0,12,0,0,0,2,0,1,0,0,4,4,0,0,0,0,116,18,0,0,1,3,32,0,2,0,0,0,0
30C30,0,2,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05B35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35K10,0,5,0,0,0,0,13,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,170,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,0,2,94,0,1,0,0,49,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,57,1,0,0,1,0,1,0,0,780,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14K22,0,5,1,0,0,0,0,12,1,4,1,0,0,0,0,0,0,0,0,0,40,0,4,0,48,2,12,8,0,0,0,0,3,60,5,0,0,0,1,0,39,0,60,51,152,3,0,0,0,1,6,0,1,17,334,7,0,0,1,6,1,6,0,0,0,12,2,0,13,0,76,0,3,6,5,1,1,1,68,0,0,0,0,30,0,1,49,0,1,3,0,0,0,0,2,203,21,62,2,3,0,0,0,0,3,0,0,0,1,1,365,0,0,2,0,1,0,10,8,0,0,0,0,0,1,0,0,9,31,0,39,0,0,0,0,2,0,120,0,0,0,0,0,1,2,4,2,0,0,1,0,1,0,0,0,0
43A15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11K70,1,1,0,0,0,0,6,7,0,0,3,3,0,3,5,2,0,0,2,0,1,3,3,42,0,6,1,14,0,2,0,0,0,14,1,3,0,0,0,0,1,0,0,12,1,0,1,2,5,1,0,2,91,0,0,4,0,9,0,9,0,2,1,1,0,2,34,6,1,32,2,0,0,0,12,1547,0,6,0,0,25,1,2,0,0,6,0,0,0,71,0,2,0,0,25,5,0,3,0,11,0,6,0,0,1,1,0,0,0,0,8,1,0,0,19,5,0,0,1,0,0,1,0,88,1,7,0,3,2,0,1,2,2,7,4,0,0,0,1,1,0,0,6,69,0,1,0,0,3,1,0,2,1,0,0,0
28A12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
65Q99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65G99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
